time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-05 00:00:00,24.2,69,0.0,5.8
2026-08-05 01:00:00,23.8,73,0.0,3.6
2026-08-05 02:00:00,23.8,80,0.0,1.4
2026-08-05 03:00:00,22.5,80,0.0,5.0
2026-08-05 04:00:00,21.8,80,0.0,7.2
2026-08-05 05:00:00,21.5,78,0.0,7.2
2026-08-05 06:00:00,20.9,82,0.0,6.1
2026-08-05 07:00:00,21.0,82,0.0,5.4
2026-08-05 08:00:00,21.8,74,0.0,5.8
2026-08-05 09:00:00,23.3,67,0.0,7.9
2026-08-05 10:00:00,25.0,57,0.0,11.9
2026-08-05 11:00:00,26.0,51,0.0,16.2
2026-08-05 12:00:00,26.9,46,0.0,17.6
2026-08-05 13:00:00,27.5,43,0.0,19.1
2026-08-05 14:00:00,27.6,44,0.0,17.6
2026-08-05 15:00:00,28.3,41,0.0,15.8
2026-08-05 16:00:00,28.2,40,0.0,18.0
2026-08-05 17:00:00,27.8,42,0.0,18.0
2026-08-05 18:00:00,27.5,43,0.0,16.2
2026-08-05 19:00:00,26.8,44,0.0,17.6
2026-08-05 20:00:00,25.9,44,0.0,17.3
2026-08-05 21:00:00,24.2,47,0.0,13.0
2026-08-05 22:00:00,23.3,49,0.0,6.5
2026-08-05 23:00:00,22.6,53,0.0,11.2
2026-08-06 00:00:00,21.3,61,0.0,9.0
2026-08-06 01:00:00,20.6,63,0.0,9.0
2026-08-06 02:00:00,19.7,60,0.0,10.1
2026-08-06 03:00:00,19.7,56,0.0,9.0
2026-08-06 04:00:00,19.4,57,0.0,9.7
2026-08-06 05:00:00,18.4,61,0.0,9.0
2026-08-06 06:00:00,17.5,64,0.0,8.6
2026-08-06 07:00:00,16.7,67,0.0,9.7
2026-08-06 08:00:00,17.0,63,0.0,10.4
2026-08-06 09:00:00,18.1,58,0.0,10.4
2026-08-06 10:00:00,19.9,46,0.0,10.4
2026-08-06 11:00:00,21.4,39,0.0,10.1
2026-08-06 12:00:00,22.9,34,0.0,10.4
2026-08-06 13:00:00,23.5,29,0.0,12.2
2026-08-06 14:00:00,23.5,27,0.0,13.3
2026-08-06 15:00:00,21.2,38,0.0,14.4
2026-08-06 16:00:00,20.6,40,0.0,11.9
2026-08-06 17:00:00,20.5,41,0.0,10.4
2026-08-06 18:00:00,21.4,40,0.0,7.2
2026-08-06 19:00:00,22.0,39,0.0,7.2
2026-08-06 20:00:00,21.8,40,0.0,8.3
2026-08-06 21:00:00,21.2,43,0.0,7.2
2026-08-06 22:00:00,20.0,48,0.0,5.4
2026-08-06 23:00:00,18.8,52,0.0,8.6
