time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-04 00:00:00,23.7,67,0.0,11.2
2026-08-04 01:00:00,23.6,65,0.0,6.1
2026-08-04 02:00:00,21.4,77,0.0,6.5
2026-08-04 03:00:00,21.8,79,0.0,4.3
2026-08-04 04:00:00,21.7,72,0.0,6.1
2026-08-04 05:00:00,20.2,88,0.0,2.2
2026-08-04 06:00:00,21.3,80,0.0,1.4
2026-08-04 07:00:00,21.5,76,0.0,9.4
2026-08-04 08:00:00,20.6,86,0.0,4.7
2026-08-04 09:00:00,23.0,78,0.0,2.2
2026-08-04 10:00:00,22.8,74,0.0,5.4
2026-08-04 11:00:00,26.1,67,0.0,2.9
2026-08-04 12:00:00,28.3,61,0.0,7.2
2026-08-04 13:00:00,29.7,49,0.0,6.8
2026-08-04 14:00:00,29.5,49,0.0,12.2
2026-08-04 15:00:00,30.5,48,0.0,9.7
2026-08-04 16:00:00,31.1,43,0.0,9.4
2026-08-04 17:00:00,31.1,43,0.0,8.6
2026-08-04 18:00:00,30.0,47,0.0,16.2
2026-08-04 19:00:00,28.0,54,0.1,18.0
2026-08-04 20:00:00,23.6,76,0.0,17.6
2026-08-04 21:00:00,23.7,73,0.0,6.1
2026-08-04 22:00:00,23.5,72,0.0,7.9
2026-08-04 23:00:00,23.1,75,0.0,6.1
2026-08-05 00:00:00,23.0,74,0.0,6.1
2026-08-05 01:00:00,22.8,74,0.0,6.8
2026-08-05 02:00:00,22.3,77,0.0,6.8
2026-08-05 03:00:00,21.9,80,0.0,5.8
2026-08-05 04:00:00,21.3,84,0.0,6.5
2026-08-05 05:00:00,21.0,85,0.0,6.1
2026-08-05 06:00:00,20.6,85,0.0,5.0
2026-08-05 07:00:00,20.7,79,0.0,6.8
2026-08-05 08:00:00,21.6,77,0.0,6.8
2026-08-05 09:00:00,23.3,68,0.0,11.9
2026-08-05 10:00:00,23.2,67,0.0,10.4
2026-08-05 11:00:00,24.4,61,0.0,10.8
2026-08-05 12:00:00,25.6,54,0.0,12.6
2026-08-05 13:00:00,26.9,47,0.0,13.3
2026-08-05 14:00:00,27.1,45,0.0,14.8
2026-08-05 15:00:00,27.5,42,0.0,13.3
2026-08-05 16:00:00,27.5,40,0.0,14.0
2026-08-05 17:00:00,26.9,43,0.0,13.7
2026-08-05 18:00:00,25.4,48,0.0,21.2
2026-08-05 19:00:00,25.1,49,0.0,14.8
2026-08-05 20:00:00,24.5,50,0.0,12.2
2026-08-05 21:00:00,23.9,52,0.0,7.9
2026-08-05 22:00:00,23.1,55,0.0,6.1
2026-08-05 23:00:00,22.8,57,0.0,5.4
